"","Gene1","Gene2"
"874","Gene 30","Gene 40"
"875","Gene 30","Gene 45"
"876","Gene 30","Gene 49"
"877","Gene 30","Gene 53"
"878","Gene 30","Gene 59"
"879","Gene 30","Gene 64"
"880","Gene 30","Gene 66"
"881","Gene 30","Gene 70"
"882","Gene 30","Gene 71"
"883","Gene 30","Gene 72"
"884","Gene 30","Gene 76"
"885","Gene 30","Gene 78"
"886","Gene 30","Gene 79"
"887","Gene 30","Gene 90"
"888","Gene 30","Gene 92"
"889","Gene 30","Gene 98"
"890","Gene 31","Gene 3"
"891","Gene 31","Gene 7"
"892","Gene 31","Gene 8"
"893","Gene 31","Gene 9"
"894","Gene 31","Gene 12"
"895","Gene 31","Gene 14"
"896","Gene 31","Gene 17"
"897","Gene 31","Gene 22"
"898","Gene 31","Gene 29"
"899","Gene 31","Gene 30"
"900","Gene 31","Gene 34"
"901","Gene 31","Gene 35"
"902","Gene 31","Gene 36"
"903","Gene 31","Gene 41"
"904","Gene 31","Gene 43"
"905","Gene 31","Gene 49"
"906","Gene 31","Gene 50"
"907","Gene 31","Gene 51"
"908","Gene 31","Gene 55"
"909","Gene 31","Gene 62"
"910","Gene 31","Gene 63"
"911","Gene 31","Gene 67"
"912","Gene 31","Gene 69"
"913","Gene 31","Gene 72"
"914","Gene 31","Gene 73"
"915","Gene 31","Gene 74"
"916","Gene 31","Gene 79"
"917","Gene 31","Gene 80"
"918","Gene 31","Gene 81"
"919","Gene 31","Gene 82"
"920","Gene 31","Gene 84"
"921","Gene 31","Gene 89"
"922","Gene 31","Gene 93"
"923","Gene 31","Gene 94"
"924","Gene 31","Gene 96"
"925","Gene 31","Gene 100"
"926","Gene 32","Gene 2"
"927","Gene 32","Gene 5"
"928","Gene 32","Gene 7"
"929","Gene 32","Gene 10"
"930","Gene 32","Gene 14"
"931","Gene 32","Gene 16"
"932","Gene 32","Gene 21"
"933","Gene 32","Gene 30"
"934","Gene 32","Gene 34"
"935","Gene 32","Gene 35"
"936","Gene 32","Gene 37"
"937","Gene 32","Gene 42"
"938","Gene 32","Gene 46"
"939","Gene 32","Gene 47"
"940","Gene 32","Gene 56"
"941","Gene 32","Gene 62"
"942","Gene 32","Gene 64"
"943","Gene 32","Gene 68"
"944","Gene 32","Gene 71"
"945","Gene 32","Gene 73"
"946","Gene 32","Gene 75"
"947","Gene 32","Gene 79"
"948","Gene 32","Gene 85"
"949","Gene 32","Gene 86"
"950","Gene 32","Gene 90"
"951","Gene 32","Gene 91"
"952","Gene 32","Gene 93"
"953","Gene 32","Gene 94"
"954","Gene 32","Gene 95"
"955","Gene 32","Gene 99"
"956","Gene 33","Gene 1"
"957","Gene 33","Gene 2"
"958","Gene 33","Gene 3"
"959","Gene 33","Gene 13"
"960","Gene 33","Gene 15"
"961","Gene 33","Gene 19"
"962","Gene 33","Gene 28"
"963","Gene 33","Gene 29"
"964","Gene 33","Gene 30"
"965","Gene 33","Gene 35"
"966","Gene 33","Gene 40"
"967","Gene 33","Gene 41"
"968","Gene 33","Gene 43"
"969","Gene 33","Gene 48"
"970","Gene 33","Gene 54"
"971","Gene 33","Gene 57"
"972","Gene 33","Gene 61"
"973","Gene 33","Gene 64"
"974","Gene 33","Gene 65"
"975","Gene 33","Gene 67"
"976","Gene 33","Gene 71"
"977","Gene 33","Gene 78"
"978","Gene 33","Gene 84"
"979","Gene 33","Gene 86"
"980","Gene 33","Gene 94"
"981","Gene 33","Gene 97"
"982","Gene 33","Gene 100"
"983","Gene 34","Gene 6"
"984","Gene 34","Gene 10"
"985","Gene 34","Gene 12"
"986","Gene 34","Gene 14"
"987","Gene 34","Gene 15"
"988","Gene 34","Gene 18"
"989","Gene 34","Gene 23"
"990","Gene 34","Gene 24"
"991","Gene 34","Gene 31"
"992","Gene 34","Gene 32"
"993","Gene 34","Gene 37"
"994","Gene 34","Gene 38"
"995","Gene 34","Gene 42"
"996","Gene 34","Gene 52"
"997","Gene 34","Gene 55"
"998","Gene 34","Gene 56"
"999","Gene 34","Gene 59"
"1000","Gene 34","Gene 63"
"1001","Gene 34","Gene 68"
"1002","Gene 34","Gene 73"
"1003","Gene 34","Gene 80"
"1004","Gene 34","Gene 83"
"1005","Gene 34","Gene 85"
"1006","Gene 34","Gene 87"
"1007","Gene 34","Gene 89"
"1008","Gene 34","Gene 92"
"1009","Gene 34","Gene 97"
"1010","Gene 34","Gene 98"
"1011","Gene 34","Gene 99"
"1012","Gene 35","Gene 2"
"1013","Gene 35","Gene 3"
"1014","Gene 35","Gene 6"
"1015","Gene 35","Gene 7"
"1016","Gene 35","Gene 8"
"1017","Gene 35","Gene 10"
"1018","Gene 35","Gene 12"
"1019","Gene 35","Gene 13"
"1020","Gene 35","Gene 14"
"1021","Gene 35","Gene 17"
"1022","Gene 35","Gene 18"
"1023","Gene 35","Gene 19"
"1024","Gene 35","Gene 22"
"1025","Gene 35","Gene 26"
"1026","Gene 35","Gene 29"
"1027","Gene 35","Gene 31"
"1028","Gene 35","Gene 32"
"1029","Gene 35","Gene 33"
"1030","Gene 35","Gene 36"
"1031","Gene 35","Gene 40"
"1032","Gene 35","Gene 42"
"1033","Gene 35","Gene 48"
"1034","Gene 35","Gene 49"
"1035","Gene 35","Gene 53"
"1036","Gene 35","Gene 54"
"1037","Gene 35","Gene 55"
"1038","Gene 35","Gene 60"
"1039","Gene 35","Gene 62"
"1040","Gene 35","Gene 66"
"1041","Gene 35","Gene 67"
"1042","Gene 35","Gene 68"
"1043","Gene 35","Gene 70"
"1044","Gene 35","Gene 72"
"1045","Gene 35","Gene 74"
"1046","Gene 35","Gene 85"
"1047","Gene 35","Gene 86"
"1048","Gene 35","Gene 87"
"1049","Gene 35","Gene 88"
"1050","Gene 35","Gene 91"
"1051","Gene 35","Gene 95"
"1052","Gene 35","Gene 98"
"1053","Gene 36","Gene 1"
"1054","Gene 36","Gene 2"
"1055","Gene 36","Gene 4"
"1056","Gene 36","Gene 5"
"1057","Gene 36","Gene 6"
"1058","Gene 36","Gene 7"
"1059","Gene 36","Gene 15"
"1060","Gene 36","Gene 18"
"1061","Gene 36","Gene 22"
"1062","Gene 36","Gene 23"
"1063","Gene 36","Gene 27"
"1064","Gene 36","Gene 30"
"1065","Gene 36","Gene 31"
"1066","Gene 36","Gene 35"
"1067","Gene 36","Gene 39"
"1068","Gene 36","Gene 40"
"1069","Gene 36","Gene 43"
"1070","Gene 36","Gene 51"
"1071","Gene 36","Gene 53"
"1072","Gene 36","Gene 54"
"1073","Gene 36","Gene 59"
"1074","Gene 36","Gene 65"
"1075","Gene 36","Gene 67"
"1076","Gene 36","Gene 68"
"1077","Gene 36","Gene 69"
"1078","Gene 36","Gene 76"
"1079","Gene 36","Gene 77"
"1080","Gene 36","Gene 78"
"1081","Gene 36","Gene 86"
"1082","Gene 36","Gene 90"
"1083","Gene 36","Gene 94"
"1084","Gene 36","Gene 95"
"1085","Gene 36","Gene 97"
"1086","Gene 36","Gene 100"
"1087","Gene 37","Gene 6"
"1088","Gene 37","Gene 9"
"1089","Gene 37","Gene 13"
"1090","Gene 37","Gene 14"
"1091","Gene 37","Gene 25"
"1092","Gene 37","Gene 29"
"1093","Gene 37","Gene 32"
"1094","Gene 37","Gene 34"
"1095","Gene 37","Gene 40"
"1096","Gene 37","Gene 45"
"1097","Gene 37","Gene 48"
"1098","Gene 37","Gene 50"
"1099","Gene 37","Gene 56"
"1100","Gene 37","Gene 57"
"1101","Gene 37","Gene 58"
"1102","Gene 37","Gene 62"
"1103","Gene 37","Gene 77"
"1104","Gene 37","Gene 78"
"1105","Gene 37","Gene 79"
"1106","Gene 37","Gene 85"
"1107","Gene 37","Gene 87"
"1108","Gene 37","Gene 94"
"1109","Gene 37","Gene 100"
"1110","Gene 38","Gene 3"
"1111","Gene 38","Gene 7"
"1112","Gene 38","Gene 8"
"1113","Gene 38","Gene 10"
"1114","Gene 38","Gene 12"
"1115","Gene 38","Gene 14"
"1116","Gene 38","Gene 22"
"1117","Gene 38","Gene 25"
"1118","Gene 38","Gene 27"
"1119","Gene 38","Gene 28"
"1120","Gene 38","Gene 30"
"1121","Gene 38","Gene 34"
"1122","Gene 38","Gene 39"
"1123","Gene 38","Gene 40"
"1124","Gene 38","Gene 42"
"1125","Gene 38","Gene 44"
"1126","Gene 38","Gene 47"
"1127","Gene 38","Gene 52"
"1128","Gene 38","Gene 60"
"1129","Gene 38","Gene 62"
"1130","Gene 38","Gene 67"
"1131","Gene 38","Gene 70"
"1132","Gene 38","Gene 75"
"1133","Gene 38","Gene 78"
"1134","Gene 38","Gene 80"
"1135","Gene 38","Gene 83"
"1136","Gene 38","Gene 86"
"1137","Gene 38","Gene 88"
"1138","Gene 38","Gene 92"
"1139","Gene 38","Gene 95"
"1140","Gene 38","Gene 97"
"1141","Gene 39","Gene 2"
"1142","Gene 39","Gene 3"
"1143","Gene 39","Gene 10"
"1144","Gene 39","Gene 18"
"1145","Gene 39","Gene 19"
"1146","Gene 39","Gene 26"
"1147","Gene 39","Gene 29"
"1148","Gene 39","Gene 30"
"1149","Gene 39","Gene 36"
"1150","Gene 39","Gene 38"
"1151","Gene 39","Gene 42"
"1152","Gene 39","Gene 45"
"1153","Gene 39","Gene 54"
"1154","Gene 39","Gene 57"
"1155","Gene 39","Gene 60"
"1156","Gene 39","Gene 61"
"1157","Gene 39","Gene 62"
"1158","Gene 39","Gene 67"
"1159","Gene 39","Gene 68"
"1160","Gene 39","Gene 70"
"1161","Gene 39","Gene 71"
"1162","Gene 39","Gene 76"
"1163","Gene 39","Gene 83"
"1164","Gene 39","Gene 88"
"1165","Gene 39","Gene 92"
"1166","Gene 39","Gene 93"
"1167","Gene 39","Gene 99"
"1168","Gene 40","Gene 7"
"1169","Gene 40","Gene 10"
"1170","Gene 40","Gene 12"
"1171","Gene 40","Gene 13"
"1172","Gene 40","Gene 28"
"1173","Gene 40","Gene 30"
"1174","Gene 40","Gene 33"
"1175","Gene 40","Gene 35"
"1176","Gene 40","Gene 36"
"1177","Gene 40","Gene 37"
"1178","Gene 40","Gene 38"
"1179","Gene 40","Gene 45"
"1180","Gene 40","Gene 46"
"1181","Gene 40","Gene 52"
"1182","Gene 40","Gene 55"
"1183","Gene 40","Gene 58"
"1184","Gene 40","Gene 66"
"1185","Gene 40","Gene 67"
"1186","Gene 40","Gene 69"
"1187","Gene 40","Gene 71"
"1188","Gene 40","Gene 79"
"1189","Gene 40","Gene 80"
"1190","Gene 40","Gene 86"
"1191","Gene 40","Gene 93"
"1192","Gene 40","Gene 98"
"1193","Gene 41","Gene 1"
"1194","Gene 41","Gene 2"
"1195","Gene 41","Gene 3"
"1196","Gene 41","Gene 4"
"1197","Gene 41","Gene 6"
"1198","Gene 41","Gene 7"
"1199","Gene 41","Gene 21"
"1200","Gene 41","Gene 23"
"1201","Gene 41","Gene 24"
"1202","Gene 41","Gene 26"
"1203","Gene 41","Gene 27"
"1204","Gene 41","Gene 31"
"1205","Gene 41","Gene 33"
"1206","Gene 41","Gene 45"
"1207","Gene 41","Gene 46"
"1208","Gene 41","Gene 49"
"1209","Gene 41","Gene 50"
"1210","Gene 41","Gene 57"
"1211","Gene 41","Gene 58"
"1212","Gene 41","Gene 61"
"1213","Gene 41","Gene 63"
"1214","Gene 41","Gene 73"
"1215","Gene 41","Gene 74"
"1216","Gene 41","Gene 79"
"1217","Gene 41","Gene 80"
"1218","Gene 41","Gene 82"
"1219","Gene 41","Gene 83"
"1220","Gene 41","Gene 85"
"1221","Gene 41","Gene 90"
"1222","Gene 41","Gene 91"
"1223","Gene 41","Gene 93"
"1224","Gene 41","Gene 94"
"1225","Gene 42","Gene 1"
"1226","Gene 42","Gene 3"
"1227","Gene 42","Gene 8"
"1228","Gene 42","Gene 13"
"1229","Gene 42","Gene 14"
"1230","Gene 42","Gene 15"
"1231","Gene 42","Gene 16"
"1232","Gene 42","Gene 18"
"1233","Gene 42","Gene 23"
"1234","Gene 42","Gene 26"
"1235","Gene 42","Gene 29"
"1236","Gene 42","Gene 32"
"1237","Gene 42","Gene 34"
"1238","Gene 42","Gene 35"
"1239","Gene 42","Gene 38"
"1240","Gene 42","Gene 39"
"1241","Gene 42","Gene 45"
"1242","Gene 42","Gene 46"
"1243","Gene 42","Gene 51"
"1244","Gene 42","Gene 55"
"1245","Gene 42","Gene 60"
"1246","Gene 42","Gene 61"
"1247","Gene 42","Gene 63"
"1248","Gene 42","Gene 72"
"1249","Gene 42","Gene 76"
"1250","Gene 42","Gene 77"
"1251","Gene 42","Gene 82"
"1252","Gene 42","Gene 84"
"1253","Gene 42","Gene 87"
"1254","Gene 42","Gene 89"
"1255","Gene 42","Gene 94"
"1256","Gene 42","Gene 95"
"1257","Gene 43","Gene 9"
"1258","Gene 43","Gene 14"
"1259","Gene 43","Gene 18"
"1260","Gene 43","Gene 26"
"1261","Gene 43","Gene 31"
"1262","Gene 43","Gene 33"
"1263","Gene 43","Gene 36"
"1264","Gene 43","Gene 46"
"1265","Gene 43","Gene 47"
"1266","Gene 43","Gene 50"
"1267","Gene 43","Gene 52"
"1268","Gene 43","Gene 57"
"1269","Gene 43","Gene 60"
"1270","Gene 43","Gene 64"
"1271","Gene 43","Gene 66"
"1272","Gene 43","Gene 70"
"1273","Gene 43","Gene 78"
"1274","Gene 43","Gene 81"
"1275","Gene 43","Gene 83"
"1276","Gene 43","Gene 84"
"1277","Gene 43","Gene 87"
"1278","Gene 43","Gene 89"
"1279","Gene 43","Gene 94"
"1280","Gene 43","Gene 96"
"1281","Gene 43","Gene 98"
"1282","Gene 44","Gene 2"
"1283","Gene 44","Gene 6"
"1284","Gene 44","Gene 8"
"1285","Gene 44","Gene 10"
"1286","Gene 44","Gene 21"
"1287","Gene 44","Gene 23"
"1288","Gene 44","Gene 28"
"1289","Gene 44","Gene 38"
"1290","Gene 44","Gene 47"
"1291","Gene 44","Gene 51"
"1292","Gene 44","Gene 52"
"1293","Gene 44","Gene 55"
"1294","Gene 44","Gene 58"
"1295","Gene 44","Gene 59"
"1296","Gene 44","Gene 64"
"1297","Gene 44","Gene 66"
"1298","Gene 44","Gene 68"
"1299","Gene 44","Gene 71"
"1300","Gene 44","Gene 76"
"1301","Gene 44","Gene 77"
"1302","Gene 44","Gene 85"
"1303","Gene 44","Gene 87"
"1304","Gene 44","Gene 89"
"1305","Gene 44","Gene 99"
"1306","Gene 44","Gene 100"
"1307","Gene 45","Gene 1"
"1308","Gene 45","Gene 2"
"1309","Gene 45","Gene 3"
"1310","Gene 45","Gene 6"
"1311","Gene 45","Gene 8"
"1312","Gene 45","Gene 10"
"1313","Gene 45","Gene 12"
"1314","Gene 45","Gene 21"
"1315","Gene 45","Gene 23"
"1316","Gene 45","Gene 26"
"1317","Gene 45","Gene 30"
"1318","Gene 45","Gene 37"
"1319","Gene 45","Gene 39"
"1320","Gene 45","Gene 40"
"1321","Gene 45","Gene 41"
"1322","Gene 45","Gene 42"
"1323","Gene 45","Gene 55"
"1324","Gene 45","Gene 56"
"1325","Gene 45","Gene 59"
"1326","Gene 45","Gene 62"
"1327","Gene 45","Gene 66"
"1328","Gene 45","Gene 68"
"1329","Gene 45","Gene 88"
"1330","Gene 46","Gene 12"
"1331","Gene 46","Gene 13"
"1332","Gene 46","Gene 15"
"1333","Gene 46","Gene 16"
"1334","Gene 46","Gene 22"
"1335","Gene 46","Gene 24"
"1336","Gene 46","Gene 25"
"1337","Gene 46","Gene 32"
"1338","Gene 46","Gene 40"
"1339","Gene 46","Gene 41"
"1340","Gene 46","Gene 42"
"1341","Gene 46","Gene 43"
"1342","Gene 46","Gene 47"
"1343","Gene 46","Gene 50"
"1344","Gene 46","Gene 52"
"1345","Gene 46","Gene 65"
"1346","Gene 46","Gene 70"
"1347","Gene 46","Gene 71"
"1348","Gene 46","Gene 76"
"1349","Gene 46","Gene 77"
"1350","Gene 46","Gene 79"
"1351","Gene 46","Gene 80"
"1352","Gene 46","Gene 85"
"1353","Gene 46","Gene 92"
"1354","Gene 46","Gene 94"
"1355","Gene 46","Gene 95"
"1356","Gene 46","Gene 99"
"1357","Gene 47","Gene 1"
"1358","Gene 47","Gene 2"
"1359","Gene 47","Gene 7"
"1360","Gene 47","Gene 8"
"1361","Gene 47","Gene 11"
"1362","Gene 47","Gene 13"
"1363","Gene 47","Gene 23"
"1364","Gene 47","Gene 24"
"1365","Gene 47","Gene 32"
"1366","Gene 47","Gene 38"
"1367","Gene 47","Gene 43"
"1368","Gene 47","Gene 44"
"1369","Gene 47","Gene 46"
"1370","Gene 47","Gene 50"
"1371","Gene 47","Gene 53"
"1372","Gene 47","Gene 56"
"1373","Gene 47","Gene 59"
"1374","Gene 47","Gene 62"
"1375","Gene 47","Gene 67"
"1376","Gene 47","Gene 68"
"1377","Gene 47","Gene 70"
"1378","Gene 47","Gene 77"
"1379","Gene 47","Gene 78"
"1380","Gene 47","Gene 81"
"1381","Gene 47","Gene 82"
"1382","Gene 47","Gene 83"
"1383","Gene 47","Gene 91"
"1384","Gene 47","Gene 94"
"1385","Gene 47","Gene 99"
"1386","Gene 48","Gene 2"
"1387","Gene 48","Gene 7"
"1388","Gene 48","Gene 9"
"1389","Gene 48","Gene 11"
"1390","Gene 48","Gene 18"
"1391","Gene 48","Gene 21"
"1392","Gene 48","Gene 22"
"1393","Gene 48","Gene 25"
"1394","Gene 48","Gene 33"
"1395","Gene 48","Gene 35"
"1396","Gene 48","Gene 37"
"1397","Gene 48","Gene 52"
"1398","Gene 48","Gene 55"
"1399","Gene 48","Gene 63"
"1400","Gene 48","Gene 67"
"1401","Gene 48","Gene 69"
"1402","Gene 48","Gene 70"
"1403","Gene 48","Gene 71"
"1404","Gene 48","Gene 72"
"1405","Gene 48","Gene 75"
"1406","Gene 48","Gene 77"
"1407","Gene 48","Gene 78"
"1408","Gene 48","Gene 84"
"1409","Gene 48","Gene 90"
"1410","Gene 48","Gene 98"
"1411","Gene 48","Gene 100"
"1412","Gene 49","Gene 1"
"1413","Gene 49","Gene 11"
"1414","Gene 49","Gene 13"
"1415","Gene 49","Gene 14"
"1416","Gene 49","Gene 16"
"1417","Gene 49","Gene 17"
"1418","Gene 49","Gene 21"
"1419","Gene 49","Gene 24"
"1420","Gene 49","Gene 25"
"1421","Gene 49","Gene 26"
"1422","Gene 49","Gene 30"
"1423","Gene 49","Gene 31"
"1424","Gene 49","Gene 35"
"1425","Gene 49","Gene 41"
"1426","Gene 49","Gene 52"
"1427","Gene 49","Gene 53"
"1428","Gene 49","Gene 58"
"1429","Gene 49","Gene 60"
"1430","Gene 49","Gene 64"
"1431","Gene 49","Gene 65"
"1432","Gene 49","Gene 69"
"1433","Gene 49","Gene 70"
"1434","Gene 49","Gene 71"
"1435","Gene 49","Gene 72"
"1436","Gene 49","Gene 74"
"1437","Gene 49","Gene 80"
"1438","Gene 49","Gene 84"
"1439","Gene 49","Gene 88"
"1440","Gene 49","Gene 89"
"1441","Gene 49","Gene 91"
"1442","Gene 49","Gene 94"
"1443","Gene 50","Gene 1"
"1444","Gene 50","Gene 10"
"1445","Gene 50","Gene 12"
"1446","Gene 50","Gene 16"
"1447","Gene 50","Gene 21"
"1448","Gene 50","Gene 27"
"1449","Gene 50","Gene 28"
"1450","Gene 50","Gene 29"
"1451","Gene 50","Gene 31"
"1452","Gene 50","Gene 37"
"1453","Gene 50","Gene 41"
"1454","Gene 50","Gene 43"
"1455","Gene 50","Gene 46"
"1456","Gene 50","Gene 47"
"1457","Gene 50","Gene 51"
"1458","Gene 50","Gene 54"
"1459","Gene 50","Gene 55"
"1460","Gene 50","Gene 57"
"1461","Gene 50","Gene 59"
"1462","Gene 50","Gene 62"
"1463","Gene 50","Gene 64"
"1464","Gene 50","Gene 70"
"1465","Gene 50","Gene 73"
"1466","Gene 50","Gene 77"
"1467","Gene 50","Gene 78"
"1468","Gene 50","Gene 81"
"1469","Gene 50","Gene 86"
"1470","Gene 50","Gene 88"
"1471","Gene 50","Gene 92"
"1472","Gene 50","Gene 99"
"1473","Gene 50","Gene 100"
"1474","Gene 51","Gene 2"
"1475","Gene 51","Gene 5"
"1476","Gene 51","Gene 7"
"1477","Gene 51","Gene 8"
"1478","Gene 51","Gene 11"
"1479","Gene 51","Gene 12"
"1480","Gene 51","Gene 14"
"1481","Gene 51","Gene 22"
"1482","Gene 51","Gene 24"
"1483","Gene 51","Gene 28"
"1484","Gene 51","Gene 31"
"1485","Gene 51","Gene 36"
"1486","Gene 51","Gene 42"
"1487","Gene 51","Gene 44"
"1488","Gene 51","Gene 50"
"1489","Gene 51","Gene 56"
"1490","Gene 51","Gene 58"
"1491","Gene 51","Gene 61"
"1492","Gene 51","Gene 69"
"1493","Gene 51","Gene 72"
"1494","Gene 51","Gene 74"
"1495","Gene 51","Gene 76"
"1496","Gene 51","Gene 77"
"1497","Gene 51","Gene 78"
"1498","Gene 51","Gene 79"
"1499","Gene 51","Gene 80"
"1500","Gene 51","Gene 81"
"1501","Gene 51","Gene 82"
"1502","Gene 51","Gene 91"
"1503","Gene 51","Gene 94"
"1504","Gene 51","Gene 99"
"1505","Gene 52","Gene 1"
"1506","Gene 52","Gene 8"
"1507","Gene 52","Gene 10"
"1508","Gene 52","Gene 12"
"1509","Gene 52","Gene 13"
"1510","Gene 52","Gene 17"
"1511","Gene 52","Gene 20"
"1512","Gene 52","Gene 34"
"1513","Gene 52","Gene 38"
"1514","Gene 52","Gene 40"
"1515","Gene 52","Gene 43"
"1516","Gene 52","Gene 44"
"1517","Gene 52","Gene 46"
"1518","Gene 52","Gene 48"
"1519","Gene 52","Gene 49"
"1520","Gene 52","Gene 57"
"1521","Gene 52","Gene 62"
"1522","Gene 52","Gene 65"
"1523","Gene 52","Gene 66"
"1524","Gene 52","Gene 67"
"1525","Gene 52","Gene 68"
"1526","Gene 52","Gene 74"
"1527","Gene 52","Gene 76"
"1528","Gene 52","Gene 78"
"1529","Gene 52","Gene 89"
"1530","Gene 52","Gene 90"
"1531","Gene 53","Gene 15"
"1532","Gene 53","Gene 16"
"1533","Gene 53","Gene 17"
"1534","Gene 53","Gene 19"
"1535","Gene 53","Gene 26"
"1536","Gene 53","Gene 30"
"1537","Gene 53","Gene 35"
"1538","Gene 53","Gene 36"
"1539","Gene 53","Gene 47"
"1540","Gene 53","Gene 49"
"1541","Gene 53","Gene 54"
"1542","Gene 53","Gene 55"
"1543","Gene 53","Gene 56"
"1544","Gene 53","Gene 58"
"1545","Gene 53","Gene 62"
"1546","Gene 53","Gene 64"
"1547","Gene 53","Gene 66"
"1548","Gene 53","Gene 72"
"1549","Gene 53","Gene 74"
"1550","Gene 53","Gene 82"
"1551","Gene 53","Gene 86"
"1552","Gene 53","Gene 87"
"1553","Gene 53","Gene 94"
"1554","Gene 53","Gene 99"
"1555","Gene 53","Gene 100"
"1556","Gene 54","Gene 5"
"1557","Gene 54","Gene 26"
"1558","Gene 54","Gene 33"
"1559","Gene 54","Gene 35"
"1560","Gene 54","Gene 36"
"1561","Gene 54","Gene 39"
"1562","Gene 54","Gene 50"
"1563","Gene 54","Gene 53"
"1564","Gene 54","Gene 59"
"1565","Gene 54","Gene 61"
"1566","Gene 54","Gene 65"
"1567","Gene 54","Gene 67"
"1568","Gene 54","Gene 69"
"1569","Gene 54","Gene 78"
"1570","Gene 54","Gene 82"
"1571","Gene 54","Gene 85"
"1572","Gene 54","Gene 86"
"1573","Gene 54","Gene 88"
"1574","Gene 54","Gene 94"
"1575","Gene 54","Gene 95"
"1576","Gene 54","Gene 99"
"1577","Gene 55","Gene 1"
"1578","Gene 55","Gene 3"
"1579","Gene 55","Gene 5"
"1580","Gene 55","Gene 15"
"1581","Gene 55","Gene 16"
"1582","Gene 55","Gene 17"
"1583","Gene 55","Gene 18"
"1584","Gene 55","Gene 21"
"1585","Gene 55","Gene 22"
"1586","Gene 55","Gene 25"
"1587","Gene 55","Gene 28"
"1588","Gene 55","Gene 31"
"1589","Gene 55","Gene 34"
"1590","Gene 55","Gene 35"
"1591","Gene 55","Gene 40"
"1592","Gene 55","Gene 42"
"1593","Gene 55","Gene 44"
"1594","Gene 55","Gene 45"
"1595","Gene 55","Gene 48"
"1596","Gene 55","Gene 50"
"1597","Gene 55","Gene 53"
"1598","Gene 55","Gene 56"
"1599","Gene 55","Gene 57"
"1600","Gene 55","Gene 59"
"1601","Gene 55","Gene 61"
"1602","Gene 55","Gene 66"
"1603","Gene 55","Gene 80"
"1604","Gene 55","Gene 81"
"1605","Gene 55","Gene 86"
"1606","Gene 55","Gene 87"
"1607","Gene 55","Gene 91"
"1608","Gene 55","Gene 99"
"1609","Gene 55","Gene 100"
"1610","Gene 56","Gene 5"
"1611","Gene 56","Gene 7"
"1612","Gene 56","Gene 10"
"1613","Gene 56","Gene 13"
"1614","Gene 56","Gene 15"
"1615","Gene 56","Gene 17"
"1616","Gene 56","Gene 18"
"1617","Gene 56","Gene 21"
"1618","Gene 56","Gene 27"
"1619","Gene 56","Gene 32"
"1620","Gene 56","Gene 34"
"1621","Gene 56","Gene 37"
"1622","Gene 56","Gene 45"
"1623","Gene 56","Gene 47"
"1624","Gene 56","Gene 51"
"1625","Gene 56","Gene 53"
"1626","Gene 56","Gene 55"
"1627","Gene 56","Gene 57"
"1628","Gene 56","Gene 58"
"1629","Gene 56","Gene 59"
"1630","Gene 56","Gene 60"
"1631","Gene 56","Gene 66"
"1632","Gene 56","Gene 67"
"1633","Gene 56","Gene 69"
"1634","Gene 56","Gene 73"
"1635","Gene 56","Gene 79"
"1636","Gene 56","Gene 86"
"1637","Gene 56","Gene 89"
"1638","Gene 56","Gene 96"
"1639","Gene 57","Gene 6"
"1640","Gene 57","Gene 11"
"1641","Gene 57","Gene 12"
"1642","Gene 57","Gene 14"
"1643","Gene 57","Gene 16"
"1644","Gene 57","Gene 17"
"1645","Gene 57","Gene 18"
"1646","Gene 57","Gene 19"
"1647","Gene 57","Gene 22"
"1648","Gene 57","Gene 25"
"1649","Gene 57","Gene 28"
"1650","Gene 57","Gene 33"
"1651","Gene 57","Gene 37"
"1652","Gene 57","Gene 39"
"1653","Gene 57","Gene 41"
"1654","Gene 57","Gene 43"
"1655","Gene 57","Gene 50"
"1656","Gene 57","Gene 52"
"1657","Gene 57","Gene 55"
"1658","Gene 57","Gene 56"
"1659","Gene 57","Gene 58"
"1660","Gene 57","Gene 64"
"1661","Gene 57","Gene 69"
"1662","Gene 57","Gene 95"
"1663","Gene 57","Gene 98"
"1664","Gene 57","Gene 100"
"1665","Gene 58","Gene 2"
"1666","Gene 58","Gene 4"
"1667","Gene 58","Gene 6"
"1668","Gene 58","Gene 7"
"1669","Gene 58","Gene 12"
"1670","Gene 58","Gene 13"
"1671","Gene 58","Gene 20"
"1672","Gene 58","Gene 22"
"1673","Gene 58","Gene 23"
"1674","Gene 58","Gene 29"
"1675","Gene 58","Gene 37"
"1676","Gene 58","Gene 40"
"1677","Gene 58","Gene 41"
"1678","Gene 58","Gene 44"
"1679","Gene 58","Gene 49"
"1680","Gene 58","Gene 51"
"1681","Gene 58","Gene 53"
"1682","Gene 58","Gene 56"
"1683","Gene 58","Gene 57"
"1684","Gene 58","Gene 61"
"1685","Gene 58","Gene 63"
"1686","Gene 58","Gene 65"
"1687","Gene 58","Gene 67"
"1688","Gene 58","Gene 68"
"1689","Gene 58","Gene 70"
"1690","Gene 58","Gene 71"
"1691","Gene 58","Gene 72"
"1692","Gene 58","Gene 85"
"1693","Gene 58","Gene 86"
"1694","Gene 58","Gene 88"
"1695","Gene 58","Gene 90"
"1696","Gene 58","Gene 92"
"1697","Gene 58","Gene 96"
"1698","Gene 58","Gene 99"
"1699","Gene 58","Gene 100"
"1700","Gene 59","Gene 6"
"1701","Gene 59","Gene 7"
"1702","Gene 59","Gene 8"
"1703","Gene 59","Gene 9"
